id,title,description
1,Leadership Development,"Developing the knowledge, skills, and experience needed to lead others in achieving a common goal or outcome."
2,Career and Professional Development,Engaging in programs and activities that help one to formulate well-developed career goals and to develop competitive skills and experiences for future employment or acceptance into graduate or professional school.
3,Communication Skills,"Becoming an effective communicator by developing and sharpening one's oral, nonverbal, interpersonal, and written communication skills."
4,Cross-Functional Team Management,"Strengthening your ability to be a valuable contributor to cross-functional teams through collaboration, information sharing, teamwork, decision making, and effective followership."
5,Personal Financial Literacy and Wellness,"Understanding how money and capital works, how to earn and manage it."
